X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-73.129247,7.121714,SP 46A,CODIGO SP 46A <br> NOMBRE PROXIMIDAD DE CRUCE PEATONAL,,,,,-1,0,-1,,
-73.128981,7.122181,SR 38,CODIGO SR 38 <br> NOMBRE SENTIDO UNICO DE CIRCULACION,,,,,-1,0,-1,,
-73.129797,7.121906,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.129806,7.121792,SR 38,CODIGO SR 38 <br> NOMBRE SENTIDO UNICO DE CIRCULACION,,,,,-1,0,-1,,
-73.129575,7.121494,SR 38,CODIGO SR 38 <br> NOMBRE SENTIDO UNICO DE CIRCULACION,,,,,-1,0,-1,,
-73.130081,7.121606,SR 10,CODIGO SR 10 <br> NOMBRE PROHIBIDO GIRAR EN U,,,,,-1,0,-1,,
-73.130186,7.121606,SR 10,CODIGO SR 10 <br> NOMBRE PROHIBIDO GIRAR EN U,,,,,-1,0,-1,,
-73.130269,7.121422,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.130592,7.121364,SI 05D,CÓDIGO: SI 05D <br>NOMBRE: SEÑALES DE PRESEÑALIZACIÓN ,,,,,-1,0,-1,,
-73.130508,7.121472,SR 10,CODIGO SR 10 <br> NOMBRE PROHIBIDO GIRAR EN U,,,,,-1,0,-1,,
-73.130369,7.121711,SR 38,CODIGO SR 38 <br> NOMBRE SENTIDO UNICO DE CIRCULACION,,,,,-1,0,-1,,
-73.130492,7.121625,SP 47,CODIGO SP 47 <br> NOMBRE ZONA ESCOLAR,,,,,-1,0,-1,,
-73.131597,7.121767,SP 47,CODIGO SP 47 <br> NOMBRE ZONA ESCOLAR,,,,,-1,0,-1,,
-73.131592,7.121594,SR 30,CODIGO SR 30 <br> NOMBRE VELOCIDAD MAXIMA PERMITIDA 30KM/H,,,,,-1,0,-1,,
-73.11235,7.131089,SI 13,CÓDIGO: SI 13 <br> NOMBRE: ZONA MILITAR,,,,,-1,0,-1,,
-73.112661,7.131242,SR 30,CODIGO SR 30 <br> NOMBRE VELOCIDAD MAXIMA PERMITIDA 30KM/H,,,,,-1,0,-1,,
-73.112678,7.131314,SI 13,CÓDIGO: SI 13 <br>NOMBRE: ZONA MILITAR ,,,,,-1,0,-1,,
-73.112692,7.131439,SP 25,CODIGO SP 25 <br> NOMBRE PROXIMIDAD DE RESALTO,,,,,-1,0,-1,,
-73.112883,7.131044,SR 10,CODIGO SR 10 <br> NOMBRE PROHIBIDO GIRAR EN U,,,,,-1,0,-1,,
-73.112883,7.131042,SR 18,CODIGO SR 18 <br> NOMBRE CIRCULACION PROHIBIDA DE VEHICULOS DE CARGA,,,,,-1,0,-1,,
-73.113661,7.130608,SI _00,CODIGO SI _00<br> NOMBRE SEÑAL INFORMATIVA PROHIBIDO PARQUEAR,,,,,-1,0,-1,,
-73.113975,7.130333,SI 05,CÓDIGO: SI 05 <br>NOMBRE: SEÑALES DE DIRECCIÓN ,,,,,-1,0,-1,,
-73.114242,7.130058,SR 06,CODIGO SR 06 <br> NOMBRE PROHIBIDO GIRAR A LA IZQUIERDA,,,,,-1,0,-1,,
-73.114639,7.129886,SR 06,CODIGO SR 06 <br> NOMBRE PROHIBIDO GIRAR A LA IZQUIERDA,,,,,-1,0,-1,,
-73.114264,7.129767,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.115378,7.129133,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.129339,7.159278,SR 28,CODIGO SR 28 <br> NOMBRE PROHIBIDO PARQUEAR,,,,,-1,0,-1,,
-73.129278,7.159239,SI 05,CÓDIGO: SI 05 <br>NOMBRE: SEÑALES DE DIRECCIÓN ,,,,,-1,0,-1,,
-73.129211,7.159211,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.129081,7.158908,SR 28,CODIGO SR 28 <br> NOMBRE PROHIBIDO PARQUEAR,,,,,-1,0,-1,,
-73.128706,7.158436,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.128906,7.158158,SI 27,CODIGO SI 27 <br> NOMBRE SEGURIDA VIAL,,,,,-1,0,-1,,
-73.128806,7.158069,SP 03,CODIGO SP 03 <br> NOMBRE CURVA PRONUNCIADA A LA DERECHA,,,,,-1,0,-1,,
-73.129508,7.157269,SR 30,CODIGO SR 30 <br> NOMBRE VELOCIDA MAXIMA PERMITIDA 40KM/H,,,,,-1,0,-1,,
-73.134139,7.155042,SI 08,CÓDIGO: SI 08 <br>NOMBRE: PARADERO DE BUSES ,,,,,-1,0,-1,,
-73.134069,7.155169,SR 18,CODIGO SR 18 <br> NOMBRE CIRCULACION PROHIBIDA DE VIHICULOS DE CARGA,,,,,-1,0,-1,,
-73.133406,7.153525,SR 30,CODIGO SR 30 <br> NOMBRE VELOCIDA MAXIMA PERMITIDA 30KM/H,,,,,-1,0,-1,,
-73.133139,7.153394,SR 18,CODIGO SR 18 <br> NOMBRE CIRCULACION PROHIBIDA DE VIHICULOS DE CARGA,,,,,-1,0,-1,,
-73.133794,7.152983,SI 05,CÓDIGO: SI 05 <br>NOMBRE: SEÑALES DE DIRECCIÓN ,,,,,-1,0,-1,,
-73.133764,7.153156,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.132697,7.151528,SP 46,CODIGO SP 46 <br> NOMBRE ZONA DE PEATONES,,,,,-1,0,-1,,
-73.132467,7.15075,SI 08,CÓDIGO: SI 08 <br>NOMBRE: PARADERO DE BUSES ,,,,,-1,0,-1,,
-73.132475,7.150347,SI 08,CÓDIGO: SI 08 <br>NOMBRE: PARADERO DE BUSES ,,,,,-1,0,-1,,
-73.132169,7.149189,SI 30,CODIGO SI 30 <br> NOMBRE TRASPORTE MASIVO,,,,,-1,0,-1,,
-73.131925,7.149239,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.1315,7.149181,SP 47,CODIGO SP 47 <br> NOMBRE ZONA ESCOLAR,,,,,-1,0,-1,,
-73.130269,7.147367,SR 39,CODIGO SR 39 <br> NOMBRE SENTIDO DE CIRCULACION DOBLE,,,,,-1,0,-1,,
-73.130256,7.147353,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.130042,7.146947,SI 30,CODIGO SI 30 <br> NOMBRE TRASPORTE MASIVO,,,,,-1,0,-1,,
-73.130025,7.146739,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.129889,7.146683,SP 04,CODIGO SP 04 <br> NOMBRE CURVA PRONUNCIADA A LA DERECHA,,,,,-1,0,-1,,
-73.131483,7.145161,SR 26,CODIGO SR 26 <br> NOMBRE PROHIBIDO ADELANTAR,,,,,-1,0,-1,,
-73.132444,7.145144,SI 30,CODIGO SI 30 <br> NOMBRE TRASPORTE MASIVO,,,,,-1,0,-1,,
-73.131956,7.144736,SR 18,CODIGO SR 18 <br> NOMBRE CIRCULACION PROHIBIDA DE VEHICULOS DE CARGA,,,,,-1,0,-1,,
-73.132856,7.145278,SR 18,CODIGO SR 18 <br> NOMBRE CIRCULACION PROHIBIDA DE VEHICULOS DE CARGA,,,,,-1,0,-1,,
-73.133833,7.144939,SR 26,CODIGO SR 26 <br> NOMBRE PROHIBIDO ADELANTAR,,,,,-1,0,-1,,
-73.134344,7.145231,SI 08,CÓDIGO: SI 08 <br>NOMBRE: PARADERO DE BUSES ,,,,,-1,0,-1,,
-73.134597,7.145267,SP 10,CODIGO SP 10 <br> NOMBRE CURVA Y CONTRACURVA PRONUNCIADA PRIMERA A LA DERECHA,,,,,-1,0,-1,,
-73.136908,7.146153,SR 30,CODIGO SR 30 <br> NOMBRE VELOCIDA MAXIMA PERMITIDA 40KM/H,,,,,-1,0,-1,,
-73.138608,7.145675,SP 75,CODIGO SP 75 <br> NOMBRE DELINEADOR DE CURVA HORIZONTAL,,,,,-1,0,-1,,
-73.138594,7.145514,SP 75,CODIGO SP 75 <br> NOMBRE DELINEADOR DE CURVA HORIZONTAL,,,,,-1,0,-1,,
-73.138572,7.145517,SP 75,CODIGO SP 75 <br> NOMBRE DELINEADOR DE CURVA HORIZONTAL,,,,,-1,0,-1,,
-73.138425,7.145325,SP 75,CODIGO SP 75 <br> NOMBRE DELINEADOR DE CURVA HORIZONTAL,,,,,-1,0,-1,,
-73.138411,7.145244,SP 75,CODIGO SP 75 <br> NOMBRE DELINEADOR DE CURVA HORIZONTAL,,,,,-1,0,-1,,
-73.135725,7.144181,SP 46,CODIGO SP 46 <br> NOMBRE ZONA DE PEATONES,,,,,-1,0,-1,,
-73.135069,7.143708,SI 30,CODIGO SI 30 <br> NOMBRE TRASPORTE MASIVO,,,,,-1,0,-1,,
-73.135236,7.143689,SI 30,CODIGO SI 30 <br> NOMBRE TRASPORTE MASIVO,,,,,-1,0,-1,,
-73.134719,7.143167,SI _,CODIGO SI 00<br> NOMBRE SEÑAL ELEVADA - MENSAJE,,,,,-1,0,-1,,
-73.133886,7.142381,SI 05D,CÓDIGO: SI 05D <br>NOMBRE: SEÑALES DE PRESEÑALIZACIÓN ,,,,,-1,0,-1,,
-73.133719,7.142375,SR 30,CODIGO SR 30 <br> NOMBRE VELOCIDA MAXIMA PERMITIDA 40KM/H,,,,,-1,0,-1,,
